content,date,isView,score,support,user,userlink
" 1.新版主要目的是延长版权保护期2.真正3D化的《渔童》已经失败了，本片采用3D分层技术可谓尊老又创新3.原版的画面色彩得到极大修复4.新版配音比原版差太远5.新版对配乐的处理失当6.新版删简了若干情节7.怒赞五分钟的片尾，投以最热烈的掌声8.新版画面配上原版声音，就会是部经典中的经典！【厦门思明】
        ",2012-01-11 23:17:10,看过,推荐,193,sterdam,https://www.douban.com/people/Uvo/
" 宣传很有问题，进场前大家都以为又是个恶心的翻拍，看了几分钟才发现完全就是那些年，我们一起看过的那部动画片的修复重生版。然后就如痴如醉的抖着脚又重温了一遍。
        ",2012-01-05 14:41:11,看过,推荐,136,荔枝超人,https://www.douban.com/people/richer725/
" 原版修复值得赞赏，片尾上美厂黑白旧照与一大串外国人名的同时出现，让我感慨万千。但是，3D做法简直顾此失彼，如同当年彩色电影诞生之初为经典黑白片上色的蠢事。中国传统绘画的谐和、工整、伦理化的整体布局被突出的3D前景夺去画面视点，致使场面调度的构图失衡降效。对于所有翻版3D均应考量此
        ",2012-01-05 14:04:57,看过,还行,81,向阳花,https://www.douban.com/people/sunflower0204/
" 除了片名叫做3D版，没发现还有哪是3D的，哦片尾也是。这片好难评价，就是把原版重新包装一遍弄出来，换一群人再配一遍音，陈佩斯的土地公最有味道。托塔天王、哪吒的配音都不喜欢。冯小刚配的太上老君就像个小流氓。在影院看这个还是蛮激动的，只是3D就算了，倒不如再看一遍原版
        ",2012-01-11 13:47:20,看过,很差,54,桃桃淘电影,https://www.douban.com/people/qijiuzhiyue/
" 心目中儿时印象全毁了！还3D呢，用QQ影音转换个3D，效果都比这个立体！以前细腻的画风全被3D技术毁了，配音和配乐更是鸡肋的让人蛋疼，唯一的亮点就是最后那5分钟。一群明星配音就说明制作方对自己的这次抢钱行动没有信心，用了一群明星，片子照样烂的掉渣！3D啊，因为3D票价高嘛？★
        ",2012-01-12 13:13:51,看过,很差,51,亵渎电影,https://www.douban.com/people/zhangzongqian/
" 冷饭也要有个限度
        ",2012-01-11 10:55:20,看过,很差,39,恒w恒,https://www.douban.com/people/3936657/
" 所谓的3D效果就是给原动画进行了分层处理，但人物还是2D，这种观感略微奇怪，像在看剪纸动画，一层一层的。除去3D和配音，基本和当初的原版一样，你会惊叹那个年代上影老艺术家们对人物神态动作的把握和对话拿捏的程度，那些包袱即便我看了很多次，在今天重看，还是会发自内心地笑出来。
        ",2012-01-05 20:27:22,看过,还行,36,山人阿苍苍,https://www.douban.com/people/Kiddieyi/
" 原版是经典，3D是鸡肋，只有片尾是真3D。新版配音方面值得一提的是，孙悟空骂马天君是“神马东西”倒是很贴切；陈佩斯的土地老一醒鼻涕让我想起了小品《吃面条》。
        ",2012-01-11 13:29:33,看过,无评分,13,大奇特(Grinch),https://www.douban.com/people/grinch/
" 电影史上最出色的动画片之一，要重新投放市场，找明星重新配音，虽然觉得没啥必要，但配得也不差；3D化，虽然戴不戴眼镜没啥差别，不过最后字幕的3D效果说明这片明明可以很好的3D化的；但是你要把它宽银幕化，不是这样干的！丫的把1.33改成1.85，硬把人脑袋都砍了一半。文化基金500万
        ",2012-01-11 17:30:31,看过,很差,17,本南丹蒂,https://www.douban.com/people/unicornwoo/
" 原作是天宫神作，3D版是地狱作，看完之后心在滴血。画幅纵向比没有变化，横向加宽造成了画面空很多，构图被彻底改变；原版京剧配乐与画面结合完美，新版去掉很多，音画配合效果大减，新增音效更无效果；有些颜色不可乱用，尤其是桃色，在原片中非常多，且因年代久远而有的vintage感与新增颜色彻底分裂
        ",2012-01-18 16:28:04,看过,很差,6,妖灵妖,https://www.douban.com/people/film101/
