content,date,isView,score,support,user,userlink
" 那些说抄袭的是不是脑子有病？黑之前也不关注下新闻？不知道电影对小说改编非常大？还是不知道这是部喜剧片？抄袭《致命魔术》？抄袭《魔术师》？抄你妹！装X装看过的黑子都死全家！
        ",2012-01-11 21:06:05,看过,力荐,444,逆光海豚,https://www.douban.com/people/Ring-Ha/
" 我会选青云......
        ",2012-01-08 23:22:50,看过,力荐,327,迈子,https://www.douban.com/people/landy888/
" 坑爹了，之前完全不知道是个喜剧，结果被欢乐得笑到扑街啊。最难得的是还有大爱的喜剧默片feel和邵氏feel。
        ",2012-01-06 17:52:52,看过,推荐,280,荔枝超人,https://www.douban.com/people/richer725/
" 以为梁朝伟、周迅、吴彦祖不会拍烂片的。。可是TMD有闫妮！！！！没看我以为是致命魔术风格的，开头以为是风声，中间以为是被嫌弃的松子的戏谑，结尾以为是香水的群P。。结果各种拼凑起来不伦不类，毁了梁朝伟等豪华阵容，好笑不够，爱情不明不白，剧情就是放屁
        ",2012-01-12 17:22:42,看过,很差,276,啊伦你好,https://www.douban.com/people/alunnihao/
" 果断给一星，这事不能怪尔冬升，原书作者张海帆这个SB才是不要脸的抄袭者！
        ",2011-12-23 12:30:55,看过,很差,231,striky,https://www.douban.com/people/4715358/
" 变戏法的、玩杂耍的、拉洋片的，再来两个数来宝的，分明是一出天桥乐嘛！本片又回复到老港片那种没心没肺的创作阶段，不考虑逻辑，怎么开心怎么来。仔细回味情节可能不严密，人物转变可能略突兀，却丝毫不影响观感。非常适合放松的娱乐片，美术、配乐等也都很有特色。甚至觉得可以玩得更疯一些，三星半
        ",2012-01-12 12:37:08,看过,推荐,214,桃桃淘电影,https://www.douban.com/people/qijiuzhiyue/
" 骨子其实很老派，还是喜剧，各种花活儿玩的很热闹，没想到观影竟能如此开心，魔术背后的重点是爱情，喜剧的背后重点是情怀，还以为会像诺兰的【致命魔术】呢。电影在美术和配乐尤为精彩，在人物和剧情逻辑上有老式港片的那股癫狂气息，懒得深究了，无伤大雅，缺点也算是优良传统，也算致敬吧。★★★★
        ",2012-01-12 16:45:14,看过,推荐,164,亵渎电影,https://www.douban.com/people/zhangzongqian/
" 戏谑的故事，精巧的对白，犹如《让子弹飞》的杂耍节奏，喜感并不低智，充分体现了“电影是娱乐”的功能注脚。
        ",2012-01-06 22:22:47,看过,推荐,125,向阳花,https://www.douban.com/people/sunflower0204/
" 如果说《龙门飞甲》重回了邵氏胡金铨时代，那么《大魔术师》中鼠来宝、搭棚绝活等“民间艺术”及大军阀的姨太们、跳棋桌这些元素则彻底复辟了李翰祥杂烩喜剧。声色犬马曲苑杂谈，妙语解颐话中有话，调侃影坛真假莫辨，情节零散毫不破碎。
        ",2012-01-12 03:19:31,看过,还行,112,大奇特(Grinch),https://www.douban.com/people/grinch/
" 脑残二逼电影终于不再是贺岁电影代名词啦。一直满以为会是黑暗剧情，没想到一路诙谐喜剧到底，影院也是笑声不断，还不免让人回想起邵式。太多电影的影子，我想在这样的档期观看，一定能换回一个好心情。 ★★★☆
                
                ",2012-01-12 02:46:13,看过,还行,106,Q。,https://www.douban.com/people/airan712/
" 新世纪华语电影站着把钱挣了第二部，真正反类型，12年贺岁不二之选！相比之下张国师和徐侠客都弱爆了。
        ",2012-01-08 23:33:23,看过,推荐,92,猫助,https://www.douban.com/people/Lolimio/
" 居然7.9我艹  有没有负分可以评....
        ",2012-01-12 23:13:31,看过,很差,113,B°,https://www.douban.com/people/samsarabai/
" 真正的贺岁片，全场笑翻了，惊喜多多，至少得看个两三遍！适合阖家观赏~
        ",2012-01-09 12:08:13,看过,力荐,97,nice,https://www.douban.com/people/beijingsijia/
" 2012看的第一部电影，格局小巧精致，包袱抖的充分量又足，可见剧本扎实。节奏紧凑(开头稍显拖沓)，恶搞无厘头却不招人烦。几个段子暗讽之心明显，不过也可能是观众意淫之意作祟。我承认我压力大，但是也要难得有部好喜剧让人发泄。。。。。给五星有感情分哟！！！！！！
        ",2012-01-10 23:29:12,看过,力荐,84,子时,https://www.douban.com/people/zishi/
" 在梁朝伟吸入七圣法之前，我一直觉得这片在太行云流水惊喜震撼了，可随后就跟换了个导演一样开始扯淡，到最后仿佛故事都凑不完整瞬间阳痿，人性揣摩半途而废，伏笔主线深入浅出，喜感铺成无疾而终，大好的题材和脚本却让人失望至极。
        ",2012-01-13 00:02:35,看过,较差,70,iokanaan,https://www.douban.com/people/ihuge/
" 作为贺岁片，值得一看，笑的我不行。
        ",2012-01-09 13:57:47,看过,推荐,62,花样,https://www.douban.com/people/adaxia/
" 借古彩戏法的壳，向电影致敬，形神皆妙。三个戏精飙戏，张力十足，欢笑满堂。节奏拿捏神马的都好，就是最后的高潮部分稍微平了一点~可以给四星半~
        ",2012-01-11 14:47:15,看过,力荐,54,午休在别处,https://www.douban.com/people/ciacia/
" 超级大烂片，雨天早起跑出来看真不值得。
                
                ",2012-01-13 15:47:15,看过,很差,41,一颗核桃,https://www.douban.com/people/urmyeyes/
" 《大魔术师》是部好电影，轻松幽默有情怀，只是我第二爱的梁朝伟越来越老了，而且还越老越像今年要卸任的某人了…… 

        ",2012-01-12 19:19:46,看过,推荐,10,丁小云,https://www.douban.com/people/tiamat/
" 事实证明，即便“两王一后”，也未必能让观众雄起
        ",2012-01-12 17:37:22,看过,较差,19,燕子坞主人,https://www.douban.com/people/yanziwuzhuren/
" 据说剧情不是抄袭《魔术师》，但预告片里亲眼所见也未必为真这句好耳熟啊(￣▽￣"")|豆瓣的条目资料里没署名的编剧辛苦了，要把小说原著改编到对得起现在的演员阵容的程度的过程想必很辛苦。
        ",2011-11-12 17:58:15,想看,无评分,0,瞬间收藏家,https://www.douban.com/people/rex2xt/
" ftp://dyjxf.com:3i8i.net@ftp.3i8i.net:495/[114电影网下载站www.3i8i.com]大魔术师720P.rmvb
        ",2011-01-06 16:32:49,想看,无评分,0,晓晓一,https://www.douban.com/people/shaoyi/
" 故事设定还挺带感的，但是有闫妮总感觉会歪楼，这个天生的谐星
                
                ",2011-12-03 01:30:58,想看,无评分,0,皮皮一号,https://www.douban.com/people/luoyingzhiying/
" 我就说这是喜剧么
        ",2012-01-12 18:24:17,想看,无评分,0,Misshesitate,https://www.douban.com/people/rungirlrun/
" 梁朝伟终于要出新片了，还有刘青云，尔冬升操刀，绝对期待啊
        ",2011-05-10 01:05:26,想看,无评分,0,© 自由过客,https://www.douban.com/people/4164528/
" 刘梁对。
        ",2011-12-30 16:13:07,想看,无评分,0,吉姆,https://www.douban.com/people/jymjymjymjymjym/
" http://www.bttiantang.com/subject/6200.html
        ",2014-01-17 11:37:08,想看,无评分,0,王佳宁,https://www.douban.com/people/wangjianing/
" 一般海报很牛的国产大牌影片，都是一笔屎。
        ",2011-05-26 16:41:55,想看,无评分,0,[已注销],https://www.douban.com/people/seanhay/
" 海报挺美
        ",2012-03-13 23:41:54,想看,无评分,0,诗人喜乐,https://www.douban.com/people/Schiller/
" 首先  绝对不要让我们看到致命魔术的一点点影子在里面  创造真的功夫才令人期待  所谓魔术  就是要不断的创新。。
        ",2011-12-12 03:54:57,想看,无评分,0,脚踏镰刀锤子,https://www.douban.com/people/50723349/
